student_id,faculty,year_of_study,gender,attendance_decline_pct,lms_inactivity_gap_days,assignment_delay_index,grade_volatility_score,current_avg_mark,true_risk_tier
KDU10083,FDSS,2,Male,3.6,0,0.13,5.4,97.5,low
KDU10084,FOM,2,Female,9.6,4.5,0.01,10.1,67.9,low
KDU10085,FOCJ,1,Female,11.9,11.7,0.13,9.8,59.2,moderate
KDU10086,FAHS,4,Female,29.2,9.7,0.33,25.0,55.3,moderate
KDU10087,FOC,2,Female,4.4,1.0,0.34,5.0,76.6,low
KDU10088,FBESS,4,Female,0,4.0,0,2.1,59.5,low
KDU10089,FOT,1,Female,9.7,0,0,7.9,78.5,low
KDU10090,FMSH,4,Male,13.3,6.1,0.05,11.1,66.5,low
KDU10091,FBESS,2,Female,7.9,0,0.08,1.8,69.3,low
KDU10092,FDSS,3,Male,25.8,9.8,0.35,22.0,65.2,moderate
KDU10093,FOL,1,Female,33.1,4.6,0.46,17.1,96.8,moderate
KDU10094,FOE,1,Female,12.8,3.3,0,0,71.5,low
KDU10095,FBESS,3,Female,17.4,8.3,0.43,21.3,47.5,moderate
KDU10096,FOCJ,4,Male,20.2,0,0.39,17.3,68.0,moderate
KDU10097,FDSS,4,Male,3.2,11.1,0.17,19.3,62.6,moderate
KDU10098,FOE,3,Male,14.9,1.6,0.14,8.6,70.4,low
KDU10099,FMSH,1,Male,16.1,8.7,0.28,0,60.2,low
KDU10100,FAHS,1,Male,55.4,12.2,0.47,33.1,34.5,high
KDU10101,FOC,1,Female,47.4,11.3,0.56,34.3,41.7,high
KDU10102,FOL,1,Female,28.2,0,0.3,14.0,45.9,moderate
KDU10103,FBESS,1,Female,24.0,13.9,0.48,8.0,70.6,moderate
KDU10104,FMSH,3,Female,18.3,10.6,0.4,26.0,56.3,moderate
KDU10105,FOC,3,Male,39.2,11.9,0.46,21.9,39.8,high
KDU10106,FOT,4,Male,28.0,3.8,0,16.6,62.7,moderate
KDU10107,FOL,1,Male,9.3,3.0,0,13.0,77.1,low
KDU10108,FBESS,1,Male,1.8,3.0,0.17,0,72.1,low
KDU10109,FDSS,4,Male,16.7,4.7,0.04,5.8,68.4,low
KDU10110,FOT,3,Male,26.5,3.9,0.19,15.8,65.6,moderate
KDU10111,FOL,2,Female,52.2,14.0,0.46,40,58.3,high
KDU10112,FAHS,1,Male,24.8,8.9,0.45,8.9,45.4,moderate
KDU10113,FOCJ,1,Male,37.1,18.4,0.83,40,49.2,high
KDU10114,FDSS,1,Male,13.6,1.8,0,8.0,70.8,low
KDU10115,FAHS,3,Male,2.0,0,0.11,1.1,76.6,low
KDU10116,FMSH,2,Female,2.1,1.7,0.1,7.8,71.4,low
KDU10117,FOC,1,Female,36.0,10.0,0.33,12.7,76.9,moderate
KDU10118,FOT,2,Male,39.0,14.0,0.68,10.7,43.2,high
KDU10119,FMSH,3,Female,22.2,6.6,0.1,5.2,71.8,low
KDU10120,FDSS,1,Female,0,1.0,0.12,13.2,74.3,low
KDU10121,FOM,4,Male,20.9,5.9,0.4,8.6,57.2,moderate
KDU10122,FAHS,3,Female,0,2.0,0,6.9,65.3,low
KDU10123,FMSH,4,Female,17.7,11.7,0.19,18.8,69.1,moderate
KDU10124,FOL,2,Male,5.4,6.0,0.44,24.5,50.2,moderate
KDU10125,FOL,2,Female,26.7,8.0,0.37,0.3,54.1,moderate
KDU10126,FDSS,4,Male,38.5,6.0,0.21,20.5,47.7,moderate
KDU10127,FDSS,3,Male,42.3,7.6,0.65,35.1,46.1,high
KDU10128,FBESS,3,Female,6.3,5.7,0.08,5.9,90.6,low
KDU10129,FOE,4,Female,7.1,0,0,0,83.6,low
KDU10130,FOM,3,Female,5.8,5.8,0.13,0,80.2,low
KDU10131,FMSH,4,Female,35.5,18.2,0.97,25.3,31.6,high
KDU10132,FOC,4,Male,11.1,2.5,0.11,8.9,70.7,low
KDU10133,FOL,4,Female,4.5,6.8,0.4,13.5,65.0,moderate
KDU10134,FOT,3,Male,18.0,10.1,0.3,14.1,69.7,moderate
KDU10135,FDSS,3,Male,21.3,5.7,0.38,15.4,54.9,moderate
KDU10136,FOM,2,Male,20.9,8.8,0.18,22.0,52.7,moderate
KDU10137,FOM,4,Male,5.5,1.1,0.09,0.9,67.1,low
KDU10138,FDSS,1,Male,17.9,1.6,0.25,9.8,81.0,low
KDU10139,FOCJ,3,Female,25.3,4.6,0.42,18.9,71.2,moderate
KDU10140,FOCJ,2,Male,54.0,6.2,0.83,28.8,38.9,high
KDU10141,FOE,1,Female,20.3,4.2,0.16,12.2,62.4,moderate
KDU10142,FMSH,4,Female,0.3,3.0,0.17,0,66.9,low
KDU10143,FDSS,2,Male,27.3,8.4,0.09,0,64.0,low
KDU10144,FOCJ,2,Female,33.5,2.4,0.65,8.5,39.2,moderate
KDU10145,FOC,2,Female,46.9,16.0,0.37,11.0,42.4,high
KDU10146,FOM,2,Female,46.3,9.0,0.72,11.1,43.1,moderate
KDU10147,FAHS,2,Female,52.6,11.0,0.67,25.1,39.9,high
KDU10148,FOT,2,Female,0,4.3,0.14,2.7,64.8,low
KDU10149,FOM,4,Male,6.0,0,0.01,0,79.9,low
KDU10150,FBESS,2,Male,39.4,1.5,0.31,26.9,67.7,moderate
KDU10151,FOM,4,Female,9.7,2.5,0.22,1.5,86.3,low
KDU10152,FOC,4,Male,8.8,0,0.1,5.7,81.0,low
KDU10153,FAHS,2,Male,1.8,4.3,0.31,11.7,59.3,low
KDU10154,FOCJ,3,Male,18.7,3.7,0,4.6,92.3,low
KDU10155,FOC,1,Male,8.3,0,0.2,5.0,75.5,low
KDU10156,FOC,3,Female,6.8,0,0.04,13.8,75.2,low
KDU10157,FAHS,4,Female,0,6.0,0.11,7.3,70.0,low
KDU10158,FOE,1,Female,11.8,9.3,0.58,13.0,58.3,moderate
KDU10159,FOL,1,Male,6.8,4.2,0,0.9,72.9,low
KDU10160,FOC,2,Male,25.8,7.0,0.3,14.0,65.5,moderate
KDU10161,FOM,4,Male,6.1,0.6,0.26,1.8,56.8,low
KDU10162,FDSS,3,Male,11.3,0.8,0,9.7,68.8,low
KDU10163,FOCJ,3,Male,7.6,1.1,0.14,0,76.0,low
KDU10164,FOCJ,4,Male,3.9,1.4,0.01,7.0,71.4,low
KDU10165,FOCJ,1,Female,6.3,0.3,0,0,63.2,low
KDU10166,FOT,4,Male,14.8,7.0,0.31,5.2,61.0,moderate
KDU10167,FOC,2,Female,19.3,3.9,0.03,7.8,63.3,low
KDU10168,FOE,4,Female,8.1,3.2,0.08,4.5,67.2,low
KDU10169,FOL,2,Female,0,3.2,0.09,8.4,67.5,low
KDU10170,FOM,2,Female,4.3,2.9,0,4.3,80.8,low
KDU10171,FOC,3,Female,5.7,2.0,0.16,19.7,55.2,moderate
KDU10172,FDSS,1,Male,9.1,0,0.1,0,72.9,low
KDU10173,FOL,2,Female,52.9,12.8,0.75,18.9,35.4,high
KDU10174,FBESS,4,Female,10.4,1.0,0.16,7.6,70.7,low
KDU10175,FBESS,1,Male,21.3,7.4,0.48,15.7,44.9,moderate
KDU10176,FMSH,4,Female,15.1,0.6,0.19,0,60.9,low
KDU10177,FOCJ,2,Male,17.3,1.1,0.53,18.6,54.9,moderate
KDU10178,FOE,2,Female,7.7,7.1,0,4.2,55.6,low
KDU10179,FBESS,2,Female,17.3,2.9,0.59,12.9,65.1,moderate
KDU10180,FOE,4,Female,11.4,4.6,0,0,78.6,low
KDU10181,FBESS,3,Male,13.6,2.1,0,7.9,45.3,low
KDU10182,FDSS,2,Female,66.7,16.8,0.73,33.7,33.7,high
KDU10183,FOE,1,Male,4.6,2.7,0,4.7,80.9,low
KDU10184,FOE,1,Male,8.1,0.8,0.25,10.6,71.8,low
KDU10185,FOL,4,Female,0,0,0.19,8.5,72.2,low
KDU10186,FOT,2,Male,26.3,11.0,0.65,14.9,27.7,high
KDU10187,FOC,2,Female,1.7,2.5,0.19,0.5,47.6,low
KDU10188,FOL,4,Female,45.6,18.0,0.86,32.4,76.2,high
KDU10189,FOCJ,4,Female,4.4,2.7,0.25,5.3,87.7,low
KDU10190,FOE,3,Female,0,0,0.09,3.3,71.2,low
KDU10191,FMSH,2,Female,0,11.0,0.33,17.3,51.0,moderate
KDU10192,FMSH,3,Female,27.5,9.1,0.24,12.3,50.1,moderate
KDU10193,FAHS,1,Male,2.7,3.8,0.11,7.5,69.3,low
KDU10194,FOCJ,2,Female,26.2,12.5,0.01,8.9,73.9,low
KDU10195,FDSS,3,Male,18.3,9.5,0.3,22.3,42.5,moderate
KDU10196,FOM,2,Male,43.7,14.7,0.62,13.6,57.1,high
KDU10197,FDSS,1,Male,25.7,6.5,0.45,20.1,66.7,moderate
KDU10198,FOE,1,Male,0.9,0.5,0,2.1,89.0,low
KDU10199,FOT,3,Female,1.8,2.0,0.2,13.8,62.7,low
KDU10200,FDSS,4,Female,3.0,1.6,0,7.6,89.3,low
KDU10201,FOT,4,Male,13.8,6.2,0.39,11.9,42.2,moderate
KDU10202,FOM,2,Male,0.4,1.3,0,2.4,70.3,low
KDU10203,FBESS,2,Male,60.1,10.1,0.49,26.7,42.3,high
KDU10204,FOM,2,Female,7.4,1.5,0.37,4.8,78.0,low
KDU10205,FOL,4,Male,0,0,0.01,18.9,56.4,low
KDU10206,FOT,4,Female,18.4,2.7,0.15,11.1,71.4,low
KDU10207,FOL,1,Male,58.7,13.7,0.86,19.3,46.5,high
KDU10208,FOL,2,Female,14.1,7.1,0,11.3,53.5,moderate
KDU10209,FBESS,3,Male,39.6,14.1,0.71,32.3,53.8,high
KDU10210,FOT,1,Male,33.6,7.9,0.53,22.1,64.2,moderate
KDU10211,FOT,3,Female,15.0,2.0,0.36,12.7,64.8,low
KDU10212,FAHS,2,Female,3.3,5.8,0.18,0,90.2,low
KDU10213,FAHS,3,Male,8.7,2.3,0,10.2,88.3,low
KDU10214,FOT,4,Male,20.5,6.9,0.47,13.6,67.6,moderate
KDU10215,FBESS,4,Female,34.3,11.0,0.27,31.4,48.3,high
KDU10216,FOE,3,Male,43.2,17.6,0.56,40,42.2,high
KDU10217,FOL,4,Male,0,0.9,0.09,3.0,70.8,low
KDU10218,FBESS,2,Male,15.2,0,0.15,6.2,72.9,low
KDU10219,FOE,3,Female,0,3.8,0.05,11.0,81.3,low
KDU10220,FAHS,1,Male,27.2,1.9,0.07,14.6,51.9,moderate
KDU10221,FOCJ,4,Male,5.9,7.1,0.58,4.7,54.7,moderate
KDU10222,FOL,2,Male,3.1,5.9,0.17,9.8,66.0,low
KDU10223,FOE,1,Female,31.6,12.1,0.77,15.3,44.9,high
KDU10224,FAHS,1,Male,10.3,0.2,0.15,0.7,79.0,low
KDU10225,FDSS,4,Male,7.2,0,0.1,8.1,71.0,low
KDU10226,FDSS,3,Female,28.9,8.8,0.3,19.1,50.2,moderate
KDU10227,FOE,2,Female,14.3,2.0,0.04,0,68.0,low
KDU10228,FAHS,1,Male,26.9,4.7,0.66,16.1,51.1,moderate
KDU10229,FOE,1,Male,0,2.5,0.28,17.7,71.9,low
KDU10230,FOL,2,Male,5.0,4.1,0,4.7,70.8,low
KDU10231,FAHS,1,Male,17.9,10.8,0.16,29.9,57.9,moderate
KDU10232,FOCJ,1,Male,26.1,0.9,0.25,17.1,62.1,moderate
KDU10233,FOT,3,Female,24.1,5.6,0.72,26.5,47.4,high
KDU10234,FMSH,4,Female,2.3,1.2,0.1,6.8,85.5,low
KDU10235,FBESS,3,Female,11.9,0.2,0.14,10.9,72.5,low
KDU10236,FOE,2,Female,8.5,0.7,0.38,0,73.0,low
KDU10237,FAHS,1,Female,28.6,5.4,0.48,9.6,60.8,moderate
KDU10238,FBESS,2,Female,59.3,17.4,0.55,38.4,47.5,high
KDU10239,FAHS,2,Female,19.3,2.8,0.45,18.9,43.7,moderate
KDU10240,FOC,2,Male,50.1,10.9,0.43,24.1,52.0,high
KDU10241,FDSS,3,Female,26.0,2.9,0.25,21.7,66.3,moderate
KDU10242,FOM,2,Male,13.9,1.2,0,0,81.1,low
KDU10243,FAHS,1,Male,15.6,8.2,0.25,10.5,53.7,moderate
KDU10244,FOC,3,Male,10.8,0.7,0.64,2.6,58.2,moderate
KDU10245,FOM,3,Female,26.3,7.1,0.37,15.2,72.2,moderate
KDU10246,FOE,1,Male,5.2,3.7,0.04,0.2,55.1,low
KDU10247,FOT,4,Male,8.7,2.4,0.23,10.0,58.7,low
KDU10248,FOL,1,Female,2.7,2.2,0.46,20.7,54.4,moderate
KDU10249,FOL,1,Female,21.8,2.9,0.08,7.6,68.6,moderate
KDU10250,FBESS,1,Female,0,3.1,0.04,4.5,57.6,low
KDU10251,FOT,1,Female,31.6,14.0,0.26,33.7,56.2,high
KDU10252,FBESS,2,Male,30.1,4.5,0.21,7.7,69.5,moderate
KDU10253,FAHS,4,Male,6.1,0,0.1,10.1,75.9,low
KDU10254,FDSS,2,Female,6.4,0.9,0.1,3.7,65.0,low
KDU10255,FOE,1,Male,23.9,6.5,0.3,13.6,41.3,moderate
KDU10256,FDSS,2,Male,16.3,4.8,0.3,6.3,69.2,low
KDU10257,FOE,4,Female,9.3,0.6,0.61,16.4,47.3,moderate
KDU10258,FAHS,2,Male,2.2,5.3,0.13,0,63.3,low
KDU10259,FOT,3,Female,0,0.9,0,0.2,71.1,low
KDU10260,FDSS,3,Male,0,3.6,0.02,11.2,77.6,low
KDU10261,FOCJ,3,Female,4.8,0,0.16,2.9,70.4,low
KDU10262,FDSS,2,Male,21.9,3.6,0.46,7.0,50.9,moderate
KDU10263,FDSS,1,Female,5.8,11.8,0.48,19.9,61.5,moderate
KDU10264,FOT,2,Male,17.7,14.4,0.86,22.9,50.6,high
KDU10265,FAHS,3,Male,1.1,4.6,0.23,4.2,66.5,low
KDU10266,FOT,2,Male,7.4,0,0.12,11.4,63.1,low
KDU10267,FAHS,4,Male,11.7,2.2,0.27,11.4,60.2,low
KDU10268,FDSS,1,Female,10.3,0,0.03,4.1,74.0,low
KDU10269,FOC,1,Male,26.8,9.9,0.48,15.2,57.5,moderate
KDU10270,FOL,1,Female,2.4,1.9,0.1,10.5,54.2,low
KDU10271,FOCJ,4,Female,3.5,0,0,0.9,90.5,low
KDU10272,FDSS,1,Female,35.5,4.9,0.21,11.8,64.8,moderate
KDU10273,FOL,3,Female,13.1,2.6,0.06,6.9,77.3,low
KDU10274,FOM,4,Male,21.4,9.6,0.57,21.3,43.9,moderate
KDU10275,FBESS,1,Female,46.1,10.8,0.71,35.4,43.3,high
KDU10276,FOT,3,Male,12.3,2.2,0.06,4.9,86.5,low
KDU10277,FOL,3,Female,18.3,10.1,0.37,14.3,65.1,moderate
KDU10278,FOE,1,Male,49.2,17.5,0.37,35.1,45.6,high
KDU10279,FOL,3,Female,0,5.1,0.02,5.4,62.9,low
KDU10280,FOL,2,Female,0,5.0,0.31,0.5,71.0,low
KDU10281,FDSS,3,Male,1.1,2.7,0.39,6.7,65.7,low
KDU10282,FDSS,2,Female,23.8,3.4,0.22,13.6,52.0,moderate
KDU10283,FBESS,4,Male,15.1,5.9,0.41,20.2,57.1,moderate
KDU10284,FOE,4,Female,13.1,3.1,0.42,10.1,55.3,moderate
KDU10285,FOL,1,Male,43.5,16.4,0.89,19.4,43.2,high
KDU10286,FBESS,2,Male,39.3,17.8,0.52,31.5,58.4,high
KDU10287,FAHS,1,Male,11.1,0.9,0.27,0.5,80.5,low
KDU10288,FOC,1,Male,30.7,8.2,0.28,4.7,49.2,moderate
KDU10289,FOC,4,Male,13.7,0,0.17,0,65.8,low
KDU10290,FOE,3,Female,48.4,11.6,0.66,26.0,48.3,high
KDU10291,FOE,2,Female,0.0,2.3,0.11,0,58.5,low
KDU10292,FOC,4,Female,2.7,6.5,0.21,7.6,76.4,low
KDU10293,FOE,2,Female,55.5,7.6,0.33,14.6,48.5,high
KDU10294,FDSS,2,Female,12.5,0.5,0.05,0,60.2,low
KDU10295,FBESS,4,Male,33.4,11.8,0.33,10.8,59.2,moderate
KDU10296,FOL,1,Female,10.8,0,0,3.4,73.6,low
KDU10297,FAHS,3,Female,35.4,5.3,0.27,17.0,60.7,moderate
KDU10298,FOC,3,Female,43.9,10.7,0,11.1,46.6,high
KDU10299,FOE,3,Male,1.7,1.8,0.07,13.5,69.9,low
KDU10300,FOT,1,Male,0,3.5,0.07,10.8,66.3,low
KDU10301,FDSS,2,Male,34.3,12.0,0.23,7.8,46.4,moderate
KDU10302,FBESS,3,Female,0,0,0.13,12.6,68.3,low
KDU10303,FMSH,4,Female,7.0,0,0.06,13.2,71.5,low
KDU10304,FOE,3,Female,4.2,0,0.07,0,79.9,low
KDU10305,FOT,3,Female,21.4,9.8,0.48,22.7,50.0,moderate
KDU10306,FOL,4,Male,49.5,12.9,0.85,40,36.6,high
KDU10307,FOCJ,1,Male,30.4,10.1,0,9.6,66.4,low
KDU10308,FOM,2,Female,38.5,17.5,0.3,34.5,47.3,high
KDU10309,FAHS,4,Male,15.0,2.5,0.04,0,83.5,low
KDU10310,FAHS,4,Female,56.6,24.1,0.75,29.4,40.8,high
KDU10311,FMSH,1,Female,11.1,1.1,0.14,6.1,76.1,low
KDU10312,FOL,2,Male,0,3.2,0.09,2.1,49.6,low
KDU10313,FAHS,4,Female,13.7,0,0.04,0.4,75.1,low
KDU10314,FMSH,2,Female,4.0,2.1,0.07,0,58.8,low
KDU10315,FOC,4,Female,0,2.2,0.29,0,64.3,low
KDU10316,FDSS,3,Female,16.9,9.5,0.12,12.8,68.9,low
KDU10317,FDSS,2,Female,1.8,2.4,0.25,0,56.5,low
KDU10318,FOL,1,Female,25.9,9.2,0.17,12.8,54.0,moderate
KDU10319,FBESS,2,Male,8.6,6.2,0.41,5.2,79.9,low
KDU10320,FOE,3,Female,2.6,1.6,0.09,7.2,66.1,low
KDU10321,FOE,4,Male,1.4,0.9,0.16,2.9,82.5,low
KDU10322,FMSH,1,Female,51.0,10.8,0.63,30.7,29.3,high
KDU10323,FOM,1,Female,0,3.3,0.18,0.5,75.2,low
KDU10324,FAHS,2,Male,1.6,0,0.12,0.1,71.5,low
KDU10325,FOT,2,Female,0,0,0,2.5,66.3,low
KDU10326,FOE,1,Male,12.6,5.0,0.15,3.0,78.7,low
KDU10327,FMSH,3,Male,0,1.9,0.29,7.6,82.7,low
KDU10328,FOT,1,Female,4.8,0.1,0.17,7.9,75.9,low
KDU10329,FOM,2,Female,3.0,0,0.08,7.2,61.9,low
KDU10330,FAHS,4,Female,3.3,1.1,0.09,12.4,64.9,low
KDU10331,FOCJ,3,Female,17.3,1.3,0,6.5,69.6,low
KDU10332,FMSH,3,Male,32.3,10.9,0.4,17.1,65.6,moderate
KDU10333,FOM,1,Female,0,0,0.11,0,70.6,low
KDU10334,FOT,3,Female,0,0,0.11,13.4,73.1,low
KDU10335,FMSH,3,Male,18.1,4.0,0.19,3.5,80.1,low
KDU10336,FOT,1,Female,8.8,0,0.08,5.5,75.5,low
KDU10337,FAHS,2,Male,2.5,2.7,0,8.9,75.0,low
KDU10338,FOL,3,Female,26.8,4.2,0.19,18.0,54.2,moderate
KDU10339,FAHS,2,Female,15.2,2.4,0.13,6.5,65.1,low
KDU10340,FOL,1,Female,22.1,2.4,0.38,17.0,56.0,moderate
KDU10341,FOCJ,3,Female,6.2,3.7,0.23,1.5,64.8,low
KDU10342,FOC,4,Male,18.9,5.3,0.14,2.3,64.3,low
KDU10343,FOC,3,Male,35.2,8.6,0.92,20.9,54.5,high
KDU10344,FAHS,2,Female,0,0.9,0.25,12.1,76.7,low
KDU10345,FOL,3,Male,2.9,9.3,0.47,9.8,56.9,moderate
KDU10346,FMSH,3,Female,0,1.1,0,6.3,76.7,low
KDU10347,FAHS,3,Male,3.2,0.3,0.19,1.5,68.6,low
KDU10348,FOL,2,Male,3.4,1.7,0.2,14.1,70.9,low
KDU10349,FBESS,4,Female,53.1,5.4,0.32,30.2,54.9,high
KDU10350,FMSH,1,Female,15.0,0,0.38,21.5,60.2,moderate
KDU10351,FOM,3,Female,29.5,17.3,0.85,21.8,54.6,high
KDU10352,FOE,2,Male,34.8,8.3,0.33,21.7,55.4,moderate
KDU10353,FOL,1,Male,20.7,11.5,0.04,18.9,51.6,moderate
KDU10354,FAHS,2,Male,47.0,14.5,0.69,20.7,48.2,high
KDU10355,FOM,1,Female,4.2,0.7,0,10.8,62.7,low
KDU10356,FOC,3,Male,4.9,4.6,0.02,6.3,65.6,low
KDU10357,FOCJ,2,Male,3.3,0,0,2.7,75.6,low
KDU10358,FOCJ,1,Female,4.8,3.4,0.01,1.1,75.2,low
KDU10359,FAHS,1,Female,0,1.7,0.13,5.7,57.3,low
KDU10360,FBESS,4,Male,2.4,4.5,0.11,6.4,57.9,low
KDU10361,FOCJ,4,Male,22.3,13.9,0.11,1.3,67.8,low
KDU10362,FAHS,1,Male,25.6,12.4,0.53,14.1,40.5,moderate
KDU10363,FOCJ,1,Female,6.6,0,0.01,10.6,63.9,low
KDU10364,FMSH,3,Female,0,0,0.01,0,71.1,low
KDU10365,FOM,3,Female,5.3,2.2,0.04,3.7,75.8,low
KDU10366,FOC,2,Male,12.3,12.9,0.63,18.5,29.9,moderate
KDU10367,FOCJ,1,Male,0,0,0.27,14.0,81.3,low
KDU10368,FDSS,2,Female,3.7,1.8,0,5.6,83.1,low
KDU10369,FOC,3,Female,8.1,6.0,0.27,2.2,80.3,low
KDU10370,FMSH,1,Female,0,0.4,0.12,3.4,65.7,low
